Monitor Name,Monitor Identifier,Nitrogen Dioxide Micrograms Per Cubic Metre,Particulate Matter Less Than 10 Micrometres,Sensor Read Time,Sensor Read Day Of Week,Graph Label X,Easting,Northing,Latitude,Longitude,Spatial Accuracy,Location,Last Uploaded,Organisation URI,:@computed_region_hxwp_gyfc,:@computed_region_6i9a_26nj
Tavistock Place,106150,52.051,,15/3/19 2:00,6,74 Fri 02:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Endsleigh Gardens,1466150,57.027,11.57,21/3/19 21:00,5,80 Thu 21:00,529688,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Gordon Square,107150,56.457,,16/3/19 8:00,7,75 Sat 08:00,529824,182181,51.523643,-0.130093,Approximate location of the monitor,"(-0.130093, 51.523643)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,64.433,,21/3/19 9:00,5,80 Thu 09:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,23.065,,20/3/19 4:00,4,79 Wed 04:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,46.778,,15/3/19 4:00,6,74 Fri 04:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.019,,21/3/19 10:00,5,80 Thu 10:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,49.204,,16/3/19 8:00,7,75 Sat 08:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,46.072,,19/3/19 9:00,3,78 Tue 09:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Netley School,1732150,14.946,8.09,16/3/19 20:00,7,75 Sat 20:00,529184,182621,51.527733,-0.139141,Approximate location of the monitor,"(-0.139141, 51.527733)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Netley School,1732150,12.135,7.34,18/3/19 10:00,2,77 Mon 10:00,529184,182621,51.527733,-0.139141,Approximate location of the monitor,"(-0.139141, 51.527733)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Netley School,1732150,13.779,18.13,19/3/19 5:00,3,78 Tue 05:00,529184,182621,51.527733,-0.139141,Approximate location of the monitor,"(-0.139141, 51.527733)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,51.563,,20/3/19 23:00,4,79 Wed 23:00,,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Netley School,1732150,15.252,23.47,21/3/19 14:00,5,80 Thu 14:00,529184,182621,51.527733,-0.139141,Approximate location of the monitor,"(-0.139141, 51.527733)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,59.059,,20/3/19 3:00,4,79 Wed 03:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Netley School,1732150,8.654,4.32,17/3/19 8:00,1,76 Sun 08:00,529184,182621,51.527733,-0.139141,Approximate location of the monitor,"(-0.139141, 51.527733)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,54.506,,18/3/19 19:00,2,77 Mon 19:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Endsleigh Gardens,1466150,68.598,4.88,18/3/19 18:00,2,77 Mon 18:00,,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,48.635,,15/3/19 16:00,6,74 Fri 16:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,47.823,,18/3/19 3:00,2,77 Mon 03:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Gordon Square,107150,67.492,,21/3/19 22:00,5,80 Thu 22:00,529824,182181,51.523643,-0.130093,Approximate location of the monitor,"(-0.130093, 51.523643)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,45.269,,19/3/19 19:00,3,78 Tue 19:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Tavistock Place,106150,54.511,,19/3/19 14:00,3,78 Tue 14:00,530100,182389,51.52545,-0.12604,Approximate location of the monitor,"(-0.12604, 51.52545)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Gordon Square,107150,70.055,,20/3/19 3:00,4,79 Wed 03:00,529824,,51.523643,-0.130093,Approximate location of the monitor,"(-0.130093, 51.523643)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Endsleigh Gardens,1466150,46.336,2.75,16/3/19 21:00,7,75 Sat 21:00,529688,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Gordon Square,107150,65.216,,15/3/19 14:00,6,74 Fri 14:00,529824,182181,51.523643,-0.130093,Approximate location of the monitor,"(-0.130093, 51.523643)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Netley School,1732150,12.211,11.01,16/3/19 16:00,7,75 Sat 16:00,529184,182621,51.527733,-0.139141,Approximate location of the monitor,"(-0.139141, 51.527733)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Gordon Square,107150,60.741,,17/3/19 14:00,1,76 Sun 14:00,529824,182181,51.523643,-0.130093,Approximate location of the monitor,"(-0.130093, 51.523643)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Endsleigh Gardens,1466150,88.239,8.25,18/3/19 22:00,2,77 Mon 22:00,529688,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Endsleigh Gardens,1466150,24.725,3.52,17/3/19 7:00,1,76 Sun 07:00,529688,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,42.706,,15/3/19 2:00,6,74 Fri 02:00,530035,183293,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Netley School,1732150,15.615,17.05,20/3/19 17:00,4,79 Wed 17:00,529184,182621,51.527733,-0.139141,Approximate location of the monitor,"(-0.139141, 51.527733)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Endsleigh Gardens,1466150,37.08,3.6,16/3/19 19:00,7,75 Sat 19:00,529688,182472,51.52629,-0.13194,Approximate location of the monitor,"(-0.13194, 51.52629)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
Pancras Square,108150,49.935,,19/3/19 18:00,3,78 Tue 18:00,530035,,51.533588,-0.126643,Approximate location of the monitor,"(-0.126643, 51.533588)",22/3/19 0:29,http://opendatacommunities.org/id/london-borough-council/camden,,
