Beach Name,Measurement Timestamp,Water Temperature,Wave Height
Montrose Beach,08/30/2013 08:00:00 AM,20.3,0.08
Ohio Street Beach,05/26/2016 01:00:00 PM,14.4,0.111
Calumet Beach,9/3/2013 16:00,23.2,0.174
Calumet Beach,05/28/2014 12:00:00 PM,16.2,0.147
Montrose Beach,05/28/2014 12:00:00 PM,14.4,0.298
Montrose Beach,05/28/2014 01:00:00 PM,14.5,0.306
Calumet Beach,05/28/2014 01:00:00 PM,16.3,0.162
Montrose Beach,05/28/2014 02:00:00 PM,14.8,0.328
Calumet Beach,05/28/2014 02:00:00 PM,16.5,0.185
Calumet Beach,05/28/2014 03:00:00 PM,16.8,0.196
Montrose Beach,05/28/2014 03:00:00 PM,14.5,0.328
Calumet Beach,05/28/2014 04:00:00 PM,17.1,0.194
Montrose Beach,05/28/2014 04:00:00 PM,14.4,0.341
Calumet Beach,05/28/2014 05:00:00 PM,17.2,0.203
Montrose Beach,05/28/2014 05:00:00 PM,14.1,0.34
Montrose Beach,05/28/2014 06:00:00 PM,14.2,0.356
Calumet Beach,05/28/2014 06:00:00 PM,17.1,0.188
Calumet Beach,05/28/2014 07:00:00 PM,17,0.194
Montrose Beach,05/28/2014 07:00:00 PM,14.2,0.346
Montrose Beach,05/28/2014 08:00:00 PM,14.4,0.38
Calumet Beach,05/28/2014 08:00:00 PM,17,0.196
Montrose Beach,05/28/2014 09:00:00 PM,14.5,0.361
Calumet Beach,05/28/2014 09:00:00 PM,16.8,0.181
Montrose Beach,05/28/2014 10:00:00 PM,14.5,0.345
Calumet Beach,05/28/2014 10:00:00 PM,16.7,0.18
Montrose Beach,05/28/2014 11:00:00 PM,14.3,0.331
Calumet Beach,05/28/2014 11:00:00 PM,16.5,0.177
Calumet Beach,05/29/2014 01:00:00 AM,16.3,0.159
Montrose Beach,05/29/2014 01:00:00 AM,14.2,0.305
Montrose Beach,05/29/2014 02:00:00 AM,14.2,0.321
Calumet Beach,05/29/2014 02:00:00 AM,16.2,0.154
Calumet Beach,05/29/2014 03:00:00 AM,16.1,0.163
Montrose Beach,05/29/2014 03:00:00 AM,14.1,0.285
Calumet Beach,05/29/2014 04:00:00 AM,16.1,0.156
Montrose Beach,05/29/2014 04:00:00 AM,14.1,0.306
Montrose Beach,05/29/2014 05:00:00 AM,14,0.282
Calumet Beach,05/29/2014 05:00:00 AM,15.9,0.158
Calumet Beach,05/29/2014 06:00:00 AM,15.9,0.151
Montrose Beach,05/29/2014 06:00:00 AM,13.8,0.248
